id,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms,price,availability_365,availability_30,number_of_reviews,review_scores_rating,host_is_superhost,host_response_rate,instant_bookable,occupancy_rate
27886,97647,Centrum-West,52.38761,4.89188,Private room in houseboat,Private room,2,1.0,1.0,1.5,132.0,17,2,311,4.92,True,100.0,False,0.9534246575342465
28871,124245,Centrum-West,52.36775,4.89092,Private room in rental unit,Private room,2,1.0,1.0,1.0,89.0,126,0,732,4.87,True,100.0,False,0.6547945205479452
29051,124245,Centrum-Oost,52.36584,4.89111,Private room in condo,Private room,2,1.0,1.0,1.0,61.0,95,0,849,4.81,True,100.0,False,0.7397260273972603
49552,225987,Centrum-West,52.38028,4.89089,Entire guest suite,Entire home/apt,3,2.0,2.0,1.0,322.0,223,6,609,4.93,True,100.0,False,0.3890410958904109
50263,230246,Centrum-Oost,52.36937805386749,4.929579192438728,Entire condo,Entire home/apt,4,2.0,3.0,1.5,457.0,354,22,177,4.86,False,100.0,False,0.03013698630136985
50515,231864,Bos en Lommer,52.37559,4.83857,Entire townhouse,Entire home/apt,5,3.0,3.0,1.5,198.0,244,0,20,4.8,False,0.0,False,0.33150684931506846
50523,231946,Centrum-West,52.36959,4.88423,Entire condo,Entire home/apt,2,1.0,1.0,1.0,162.0,261,1,563,4.88,True,100.0,False,0.2849315068493151
97221,195859,Slotervaart,52.34801,4.83639,Private room in bed and breakfast,Private room,2,1.0,2.0,1.0,68.0,305,6,412,4.68,False,100.0,False,0.1643835616438356
137026,670266,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire townhouse,Entire home/apt,4,3.0,3.0,2.0,335.0,108,0,117,4.71,True,100.0,False,0.7041095890410959
179528,856540,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire rental unit,Entire home/apt,3,2.0,2.0,1.5,301.0,216,0,37,4.57,True,100.0,False,0.40821917808219177
188347,907405,De Baarsjes - Oud-West,52.3683,4.85446,Private room in condo,Private room,2,1.0,1.0,1.0,68.0,86,11,478,4.68,False,100.0,False,0.7643835616438356
189754,915591,Centrum-West,52.37548,4.89398,Entire loft,Entire home/apt,4,1.0,3.0,1.0,231.0,202,3,427,4.81,True,100.0,True,0.4465753424657535
193038,935742,Centrum-Oost,52.36057,4.89671,Private room in loft,Private room,2,1.0,1.0,1.0,158.0,323,7,740,4.97,True,100.0,True,0.1150684931506849
245927,1005087,Centrum-West,52.36897659301758,4.887128829956055,Entire guest suite,Entire home/apt,4,2.0,3.0,1.5,635.0,267,7,274,4.88,,100.0,True,0.2684931506849315
247805,1298735,De Baarsjes - Oud-West,52.36707,4.87348,Private room in rental unit,Private room,2,1.0,1.0,1.5,117.0,9,1,563,4.88,True,100.0,False,0.9753424657534246
254104,1334704,Centrum-Oost,52.36489868164063,4.90916919708252,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,185.0,250,7,86,4.92,False,100.0,False,0.31506849315068497
