listing_id,date
45237781,2023-04-24
1429701,2025-06-14
23777372,2018-11-08
930317679534372417,2024-02-29
874076,2023-02-12
15213109,2020-03-07
771343,2022-05-19
22508949,2021-08-08
744659,2022-10-06
20756989,2022-02-20
32982335,2022-08-25
575083882544272867,2025-04-02
931270,2023-09-05
16591325,2018-04-19
727328895429365423,2023-08-09
4934237,2016-03-01
957891889626715891,2025-01-18
1814121,2024-10-05
1630603,2017-04-09
5390933,2022-09-20
8467413,2025-03-23
31281127,2022-05-22
25902355,2022-06-05
445660,2022-03-20
30264925,2024-01-06
32485135,2022-09-21
834233,2023-06-16
707125451770891050,2022-10-28
29871927,2025-04-14
45646849,2022-06-17
38869887,2023-04-27
19278681,2018-12-03
38694596,2025-01-02
38417080,2019-10-21
594722520230602404,2025-05-27
1153548759378035590,2025-05-09
3388764,2023-04-09
27916775,2023-04-24
15038670,2020-01-20
20059970,2019-12-09
3929712,2015-04-24
18816109,2018-08-12
1116446,2015-04-08
30770374,2022-11-28
46592126,2024-03-12
13825117,2017-10-16
54043086,2024-01-01
654931,2014-12-10
515749,2024-05-02
3806069,2025-06-22
28146045,2019-05-03
804111995458318093,2024-03-26
21978969,2019-04-17
27793181,2024-05-28
4764819,2019-06-01
870022050766494576,2023-07-13
1358042,2021-12-12
23155869,2024-09-26
699310745861896338,2023-12-22
19527617,2022-08-24
4035170,2018-04-17
45695711,2022-09-02
40915515,2021-12-19
12351923,2017-04-30
1798945,2015-09-26
10500911,2018-10-20
41178657,2021-07-30
31945032,2019-12-22
32009903,2022-08-02
12145656,2024-07-09
3099026,2018-11-16
18576284,2022-06-16
16763977,2019-09-29
6142913,2025-01-02
957162039010316681,2023-12-11
654931,2016-06-29
32485135,2025-06-24
33937030,2025-04-12
6133157,2022-07-25
24602294,2022-06-27
15110844,2024-11-17
568446,2019-05-10
4714161,2020-02-24
834233,2015-06-17
996137103775536094,2024-11-20
7627497,2018-04-02
47002742,2025-02-22
15213109,2022-05-09
954629,2025-08-18
2535685,2016-10-25
45539425,2023-01-15
32485135,2023-11-05
4147932,2015-03-29
9003963,2017-05-30
30762441,2022-05-02
24383671,2024-04-14
3944495,2023-01-06
22781669,2023-07-26
16249620,2018-06-13
6010587,2023-06-18
670897479972458235,2023-07-16
37344101,2021-07-13
657151187604355254,2023-06-06
18622506,2024-09-21
47917082,2021-07-01
771758,2023-04-12
13034385,2017-05-02
794322,2013-03-12
619283373356472530,2024-08-21
1149380,2022-04-27
1814121,2014-01-21
15033074,2024-09-24
50383849,2025-08-09
29776071,2024-07-01
777465078572630213,2023-07-17
5184303,2020-09-27
11859556,2023-04-04
27886,2018-02-28
1904291,2024-05-06
45461175,2022-08-28
746060021045144380,2024-03-07
14819599,2017-04-17
26035980,2024-01-07
36259851,2022-08-15
46348181,2023-06-09
50383849,2023-01-10
3957639,2020-07-12
1021538,2018-06-25
18622506,2024-05-16
694850,2021-11-21
